INSEE_COM;NOM_COM_M;INSEE_DEP;NOM_DEP;CODE_EPCI;NOM_EPCI
55345;MONT-DEVANT-SASSEY;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55346;MONTFAUCON-D'ARGONNE;55;MEUSE;200066116;CC Argonne-Meuse
55347;LES MONTHAIRONS;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55348;MONTIERS-SUR-SAULX;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55349;MONTIGNY-DEVANT-SASSEY;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55350;MONTIGNY-LES-VAUCOULEURS;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55351;MONTMEDY;55;MEUSE;245501259;CC du Pays de Montmédy
55352;MONTPLONNE;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55353;MONTSEC;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55355;MONTZEVILLE;55;MEUSE;200049187;CA du Grand Verdun
55356;MORANVILLE;55;MEUSE;245501242;CC du Pays d'Étain
55357;MORGEMOULIN;55;MEUSE;245501242;CC du Pays d'Étain
55358;CHANTERAINE;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55359;MORLEY;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55360;MOUILLY;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55361;MOULAINVILLE;55;MEUSE;245501242;CC du Pays d'Étain
55362;MOULINS-SAINT-HUBERT;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55363;MOULOTTE;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55364;MOUZAY;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55365;MURVAUX;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55366;VAL-D'ORNAIN;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55367;MUZERAY;55;MEUSE;200066173;CC de Damvillers Spincourt
55368;NAIVES-EN-BLOIS;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55369;NAIVES-ROSIERES;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55370;NAIX-AUX-FORGES;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55371;NANCOIS-LE-GRAND;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55372;NANCOIS-SUR-ORNAIN;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55373;NANT-LE-GRAND;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55374;NANT-LE-PETIT;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55375;NANTILLOIS;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55376;NANTOIS;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55377;NEPVANT;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55378;NETTANCOURT;55;MEUSE;245501184;CC du Pays de Revigny-sur-Ornain
55379;LE NEUFOUR;55;MEUSE;200066116;CC Argonne-Meuse
55380;NEUVILLE-EN-VERDUNOIS;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55381;NEUVILLE-LES-VAUCOULEURS;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55382;NEUVILLE-SUR-ORNAIN;55;MEUSE;245501184;CC du Pays de Revigny-sur-Ornain
55383;NEUVILLY-EN-ARGONNE;55;MEUSE;200066116;CC Argonne-Meuse
55384;NICEY-SUR-AIRE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55385;NIXEVILLE-BLERCOURT;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55386;NONSARD-LAMARCHE;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55387;NOUILLONPONT;55;MEUSE;200066173;CC de Damvillers Spincourt
55388;NOYERS-AUZECOURT;55;MEUSE;245501184;CC du Pays de Revigny-sur-Ornain
55389;NUBECOURT;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55391;OLIZY-SUR-CHIERS;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55394;ORNES;55;MEUSE;200049187;CA du Grand Verdun
55395;OSCHES;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55396;OURCHES-SUR-MEUSE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55397;PAGNY-LA-BLANCHE-COTE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55398;PAGNY-SUR-MEUSE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55399;PAREID;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55400;PARFONDRUPT;55;MEUSE;245501242;CC du Pays d'Étain
55401;LES PAROCHES;55;MEUSE;245500327;CC du Sammiellois
55403;PEUVILLERS;55;MEUSE;200066173;CC de Damvillers Spincourt
55404;PIERREFITTE-SUR-AIRE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55405;PILLON;55;MEUSE;200066173;CC de Damvillers Spincourt
55406;PINTHEVILLE;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55407;PONT-SUR-MEUSE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55408;POUILLY-SUR-MEUSE;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55409;PRETZ-EN-ARGONNE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55410;QUINCY-LANDZECOURT;55;MEUSE;245501259;CC du Pays de Montmédy
55411;RAMBLUZIN-ET-BENOITE-VAUX;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55412;RAMBUCOURT;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55414;RANCOURT-SUR-ORNAIN;55;MEUSE;245501184;CC du Pays de Revigny-sur-Ornain
55415;RANZIERES;55;MEUSE;245500327;CC du Sammiellois
55416;RARECOURT;55;MEUSE;200066116;CC Argonne-Meuse
55419;RECICOURT;55;MEUSE;200066116;CC Argonne-Meuse
55420;RECOURT-LE-CREUX;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55421;REFFROY;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55422;REGNEVILLE-SUR-MEUSE;55;MEUSE;200066116;CC Argonne-Meuse
55423;REMBERCOURT-SOMMAISNE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55424;REMENNECOURT;55;MEUSE;245501184;CC du Pays de Revigny-sur-Ornain
55425;REMOIVILLE;55;MEUSE;245501259;CC du Pays de Montmédy
55426;RESSON;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55427;REVIGNY-SUR-ORNAIN;55;MEUSE;245501184;CC du Pays de Revigny-sur-Ornain
55428;REVILLE-AUX-BOIS;55;MEUSE;200066173;CC de Damvillers Spincourt
55429;RIAVILLE;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55430;RIBEAUCOURT;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55431;RICHECOURT;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55433;RIGNY-LA-SALLE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55434;RIGNY-SAINT-MARTIN;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55435;ROBERT-ESPAGNE;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55436;LES ROISES;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55437;ROMAGNE-SOUS-LES-COTES;55;MEUSE;200066173;CC de Damvillers Spincourt
55438;ROMAGNE-SOUS-MONTFAUCON;55;MEUSE;200066116;CC Argonne-Meuse
55439;RONVAUX;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55442;RAIVAL;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55443;ROUVRES-EN-WOEVRE;55;MEUSE;245501242;CC du Pays d'Étain
55444;ROUVROIS-SUR-MEUSE;55;MEUSE;245500327;CC du Sammiellois
