Zone;CodeZone;I_01_03_4;I_06_01_2;I_07_01_2;I_07_01_3;I_08_08_2;I_10_00_0;I_10_00_1;I_10_00_2;I_12_08_1;I_12_01_5;I_12_05_5;I_13_01_1;I_16_02_6;I_18_03_1;I_18_04_1;I_18_04_2;I_18_05_1;I_18_05_2;I_18_05_3;I_19_01_1;I_20_01_1;I_22_04_3;I_23_02_1;I_23_02_2;I_24_01_5;I_24_01_4;I_27_01_3;I_THD;Avancement_PCAET
CA de Sophia Antipolis;240600585;0.363093065482518;21.0883808709236;51.2578560641473;13.4519074244941;17.9763780216647;52.2065923429282;21.9674867965238;65.2356103125991;0.632930773746491;13.2486070074608;10.4249007186007;4.68373099560297;11.1229243458217;NA;0;0;0;0;0;6.81818181818182;22.5806451612903;36.2828855574;7.38661044665874;75.1877822619782;11.4354294513258;100;20.3142423016396;45.6226763737216;NA
CC du Pays des Paillons;240600593;0.325525480556585;23.1150600066036;34.5647217729685;16.2967092627144;10.2072146293663;49.6646022871554;21.6280227548396;68.2730005075729;1.05206820255662;14.5059085459839;0.75302951219982;13.9995597622716;5.62951281341315;NA;0;0;0;0;0;12;23.5294117647059;5.0944802721619;5.9137421471223;81.8219183628381;6.0562473977062;90.9090909090909;10.1735917104319;21.579835986493;NA
CC du Pays Beaume-Drobie;240700302;0.481563181826435;34.234390709149;35.8817043869385;15.1672677021657;4.1583684972556;47.3370816213119;23.9439436177417;57.6007694240497;0;13.6402753872633;0;21.0220673635308;10.3789743973923;50;0;0;NA;NA;NA;0;9.25925925925926;10.3547926351994;1.56347043685831;81.0344994968605;6.94364078231686;100;0.452104402221537;33.2866605335787;NA
CC Val de Ligne;240700617;0.436468037340214;31.105984265316;30.8556288795285;17.5517378001002;3.11477416960988;50.8392542014113;25.7459083574202;56.7444324639303;2.73195658789059;15.0039277297722;0;39.6468699839486;7.87419279467554;100;0;NA;0;0;0;0;3.7037037037037;1.54237885334302;1.31860000140002;85.052054166655;6.43604183427192;63.6363636363636;1.42309277767355;36.5133819951338;NA
CC du Val d'Ay;240700716;0.356504203665471;13.3509717270973;39.0048492384666;8.77295157782343;2.72145045089403;44.6508039558021;11.7678064164933;66.7168844128548;0;12.1573301549464;0;19.0839694656489;8.30020904149309;NA;NA;NA;NA;NA;NA;0;20;0;2.05890686210028;85.9977877075588;5.13083632632119;90.9090909090909;1.81438209342378;14.4596471257826;NA
CC Berg et Coiron;240700815;0.351248260286493;33.0571099909388;39.0169894616206;11.8409382672348;2.28445651131765;47.9330774254607;19.3823857167682;63.4080990411741;0.309556467173688;15.3682719546742;0.519188969396643;12.2097378277154;6.75982414442592;0;0;NA;NA;NA;NA;0;5.26315789473684;2.01106676474747;1.57653920323831;85.5385972055861;10.7671601615074;59.0909090909091;1.23753557026403;32.0501324503311;NA
CC du Rhône aux Gorges de l'Ardèche;240700864;0.329548349875388;36.6634815110466;34.4734431337962;16.8566672275631;2.55499220082647;53.9507942847604;16.9944965239081;60.7007648136526;0.73719091677748;13.2984901277584;0.735800218648243;19.716814159292;6.98087179942897;0;0;0;0;0;100;0;28.125;7.60861053877549;1.81065653334431;85.3013893514222;9.94868572625406;63.6363636363636;2.88255426691393;33.2408654733346;NA
CC Ardenne, Rives de Meuse;240800821;0.309828087710943;46.6366113993825;29.8710426831342;21.9112150719918;2.62580941976688;48.5475644006057;15.3532585247444;56.5798105474721;1.62278458903524;9.74835084290252;1.87340923972814;13.4453781512605;15.3322691937494;0;0;21.0526315789474;0;0;0;6.45161290322581;30.4347826086957;81.769176430634;2.95206868535112;78.8461204212115;7.2337962962963;86.3636363636364;6.29034163926146;36.3226257159041;NA
CC des Portes du Luxembourg;240800847;0.308738943893062;36.7482898968617;24.3884277925832;15.7701606878537;1.58959030390177;49.903158189519;15.6781615152812;61.550129558147;0.387615792003245;9.99611046285492;1.67485389116992;6.90204406689673;9.65173233452571;0;0;26.6666666666667;0;0;6.66666666666667;0;57.1428571428571;14.8202737600464;2.06625313523048;83.0728949767052;9.28959076908033;95.4545454545455;3.21706596992743;30.680069307858;NA
CC des Crêtes Préardennaises;240800862;0.290433962877465;34.1918482580776;35.9248601960805;12.0076590013782;1.10599304792207;51.6573462616831;17.6173736882296;65.0668119533261;0.548404129155393;12.0063694267516;0.717671491827605;13.9716312056738;7.44107275498491;NA;0;9.09090909090909;0;0;0;0;22.2222222222222;4.34439022645566;1.49215020725533;83.6749257450113;7.75653602226582;95.4545454545455;2.36734489390279;33.3583748206902;NA
CC de l'Argonne Ardennaise;240800920;0.379497658026619;35.9046205668331;27.6617005910837;18.2288536669535;1.58644411780551;50.4266647475493;19.3220535252542;63.2724815474824;0.77033006385769;10.2486559139785;0.940636230339128;14.4168734491315;14.9196892219332;0;0;24;0;0;16.6666666666667;0;30;4.15726901944942;0.746500674933702;74.1557803310176;10.2243680772508;95.4545454545455;1.71328796334353;24.647977039163;NA
