dept,siren,raison_sociale,nature_juridique,mode_financ,nb_membres,total_pop_tot,total_pop_mun,dep_com,insee,siren_membre,nom_membre,ptot_2019,pmun_2019
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01050,210100509,Boissey,345,338
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01439,210104394,Vésines,103,99
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162,01,01023,210100236,Asnières-sur-Saône,66,63
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01053,210100533,Bourg-en-Bresse,43454,41365
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01289,210102893,Péronnas,6580,6287
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01451,210104519,Viriat,6529,6350
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01344,210103446,Saint-Denis-lès-Bourg,5870,5667
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01024,210100244,Attignat,3336,3270
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01072,210100723,Ceyzériat,3203,3138
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01426,200057347,Val-Revermont,2636,2581
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01301,210103016,Polliat,2566,2504
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01350,210103503,Saint-Étienne-du-Bois,2531,2490
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01266,210102661,Montrevel-en-Bresse,2506,2463
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01130,200086965,Bresse Vallons,2307,2263
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01232,210102323,Marboz,2272,2226
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01163,210101630,Foissiat,2100,2062
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01254,210102547,Montagnat,2009,1960
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01374,210103743,Saint-Martin-du-Mont,1850,1807
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01065,210100657,Buellas,1814,1767
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01195,210101952,Jasseron,1814,1762
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01069,210100699,Certines,1573,1532
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01211,210102117,Lent,1452,1416
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01422,210104220,Tossiat,1403,1366
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01115,210101150,Confrançon,1360,1331
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01241,210102414,Meillonnas,1354,1332
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01447,210104477,Villereversure,1338,1275
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01405,210104055,Servas,1273,1241
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01229,210102299,Malafretaz,1213,1188
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01108,210101085,Coligny,1212,1187
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01145,210101457,Dompierre-sur-Veyle,1185,1164
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01196,210101960,Jayat,1179,1166
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01151,210101515,Druillat,1175,1157
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01336,210103362,Saint-André-sur-Vieux-Jonc,1154,1126
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01388,210103883,Saint-Trivier-de-Courtes,1103,1095
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727,01,01264,210102646,Montracol,1073,1052
